transactionAmount,category,note,income,date
6069.83,Miscellaneous,Initial Value,true,2025-09-01
1743.0,Rent,A318,false,2025-09-02
79.99,Subscriptions,Crunchyroll-Yr,false,2025-09-04
143.64,VA,Pharmacy,false,2025-09-08
11.81,Subscriptions,Pandora,false,2025-09-11
8.45,Takeout/Delivery,Fiiz,false,2025-09-15
20.37,Subscriptions,Hulu,false,2025-09-15
46.96,Groceries,State Fair Food,false,2025-09-15
30.0,Miscellaneous,State Fair,false,2025-09-15
167.68,Clothing,JCPenny,false,2025-09-17
110.0,Wife,Transfer,true,2025-09-22
10.73,Subscriptions,Webnovel,false,2025-09-22
38.0,Personal Care,Great Clips,false,2025-09-22
101.0,Phone,Bill,false,2025-09-22
17.11,Subscriptions,Chegg,false,2025-09-29
9.99,Subscriptions,Doordash,false,2025-09-30
10.98,Groceries,Hotdog stuff,false,2025-10-01
1971.14,Wife,Transfer,false,2025-10-06
500.0,VA,GI Bill,true,2025-10-09
10.73,Subscriptions,ShopTitans,false,2025-10-09
11.81,Subscriptions,Pandora,false,2025-10-09
2520.0,VA,GI Bill,true,2025-10-11
200.0,Wife,Car Tow,false,2025-10-12
